timestamp,open,high,low,close
1780673100000,4464.86726,4464.86726,4462.18488,4462.64637
1780673400000,4463.45551,4466.94019,4463.45551,4464.11468
1780673700000,4464.49216,4464.49216,4462.26913,4462.51011
1780674000000,4462.95654,4463.09024,4461.05811,4462.5843
1780674300000,4462.63934,4464.12915,4461.9538,4463.78428
1780674600000,4463.26192,4464.58884,4462.6919,4462.78833
1780674900000,4462.99269,4463.6879,4462.8386,4463.21456
1780675200000,4463.10937,4463.12865,4461.2023,4463.04074
1780675500000,4462.90153,4462.99901,4460.10437,4460.32484
1780675800000,4460.64327,4466.05274,4459.50767,4465.24494
1780676100000,4463.91309,4468.56911,4463.91309,4466.12622
1780676400000,4466.91194,4468.87429,4466.91194,4468.23399
1780676700000,4468.07284,4468.24996,4463.45088,4464.11737
1780677000000,4464.9961,4465.01948,4459.70655,4462.96909
1780677300000,4461.99005,4465.25801,4461.99005,4465.05698
1780677600000,4464.78811,4465.7142,4462.89936,4465.31373
1780677900000,4465.23052,4469.07401,4465.23052,4466.882
1780678200000,4468.05353,4468.05353,4464.88369,4465.44033
1780678500000,4465.21246,4465.72307,4462.96561,4464.20308
1780678800000,4463.9313,4464.89376,4463.6879,4463.98223
1780679100000,4463.82878,4464.63408,4463.08574,4464.3376
1780679400000,4463.86434,4465.08305,4463.6879,4463.85418
1780679700000,4464.14117,4465.48183,4464.14117,4464.94871
1780680000000,4465.04302,4467.87528,4465.04302,4467.66033
1780680300000,4467.37266,4468.55634,4465.48183,4465.54811
1780680600000,4465.56885,4466.67858,4463.65051,4464.18246
1780680900000,4465.1688,4465.1688,4462.29362,4463.26334
1780681200000,4463.10845,4464.04618,4461.27556,4463.55854
1780681500000,4462.54781,4467.27719,4462.54781,4465.04999
1780681800000,4465.15266,4467.67636,4465.15266,4466.73184
1780682100000,4466.8025,4466.8781,4466.47907,4466.51138
1780682400000,4466.59774,4467.01026,4464.48502,4464.57571
1780682700000,4464.67597,4466.6283,4463.88715,4466.30014
1780683000000,4465.40985,4467.15015,4462.71853,4463.37697
1780683300000,4464.85511,4464.85511,4461.69634,4462.60929
1780683600000,4462.78719,4463.48866,4461.58107,4463.10667
1780683900000,4462.87968,4465.68124,4460.90021,4465.49574
1780684200000,4465.10796,4467.07764,4465.08305,4465.16552
1780684500000,4465.31537,4466.67858,4463.39914,4466.46555
1780684800000,4466.06942,4467.32333,4462.4843,4465.60948
1780685100000,4465.4247,4467.07764,4463.08626,4467.01752
1780685400000,4466.83726,4474.27293,4466.04208,4471.27643
1780685700000,4471.66719,4471.77374,4467.67636,4469.91985
1780686000000,4469.45329,4470.88927,4465.86762,4468.06775
1780686300000,4468.39013,4468.39013,4464.68435,4466.76026
1780686600000,4467.32777,4471.53793,4464.84478,4468.70983
1780686900000,4468.54643,4471.75592,4468.44506,4471.15082
1780687200000,4469.95137,4473.12772,4468.27525,4468.73746
1780687500000,4469.04464,4469.50934,4462.49275,4462.64175
1780687800000,4463.13768,4476.39626,4446.81608,4454.06902
1780688100000,4452.85325,4455.33526,4441.08896,4441.66467
1780688400000,4442.42488,4446.81608,4442.42488,4444.01388
1780688700000,4444.54128,4448.39858,4442.86428,4443.99457
1780689000000,4446.58841,4446.58841,4419.8895,4420.80438
1780689300000,4422.32809,4422.62333,4408.76939,4411.66698
1780689600000,4411.89295,4419.8895,4399.07599,4408.7691
1780689900000,4410.53942,4417.55198,4407.62082,4416.99968
1780690200000,4415.57646,4420.28025,4415.57646,4418.66945
1780690500000,4418.82439,4418.91606,4417.74165,4418.01812
1780690800000,4417.8574,4419.74549,4413.06267,4413.583
1780691100000,4414.39423,4416.24761,4406.13229,4414.48101
1780691400000,4410.87164,4410.87164,4399.27852,4405.60465
1780691700000,4406.72962,4406.72962,4385.38789,4386.37714
1780692000000,4387.98441,4396.18411,4387.98441,4390.69471
1780692300000,4391.12813,4391.12813,4385.77255,4385.97014
1780692600000,4386.23187,4386.34968,4383.51145,4384.81918
1780692900000,4385.12664,4385.12664,4376.43126,4377.04485
1780693200000,4378.42025,4378.66713,4362.62106,4377.97645
1780693500000,4377.52744,4377.52744,4366.62154,4373.70622
1780693800000,4371.05834,4376.7507,4366.45891,4366.98243
1780694100000,4367.76908,4367.82886,4365.66838,4367.31449
1780694400000,4366.61215,4368.71997,4357.48834,4358.24319
1780694700000,4359.70996,4360.42728,4353.88366,4358.97218
1780695000000,4358.30805,4363.78903,4351.90507,4353.5683
1780695300000,4356.06158,4356.06158,4349.52215,4350.18351
1780695600000,4351.25699,4351.25699,4346.45776,4348.89824
1780695900000,4348.57104,4358.05805,4342.89781,4357.63041
1780696200000,4357.01044,4364.71564,4352.63605,4361.11843
1780696500000,4361.57828,4369.86541,4361.54871,4369.46382
1780696800000,4368.64122,4372.91128,4364.13972,4368.2084
1780697100000,4367.57923,4369.41128,4363.8812,4364.14215
1780697400000,4364.48727,4366.12615,4358.48284,4359.73637
1780697700000,4359.58494,4359.58494,4349.52808,4352.13631
1780698000000,4350.23957,4354.33935,4348.20419,4352.33576
1780698300000,4351.87194,4354.5794,4351.31141,4354.3333
1780698600000,4353.4417,4354.64205,4346.79392,4347.80588
1780698900000,4349.15756,4349.15756,4337.64206,4338.65418
1780699200000,4340.69694,4341.59684,4336.3254,4341.29452
1780699500000,4340.75432,4341.48823,4337.64206,4337.90105
1780699800000,4338.37308,4341.01464,4338.07156,4340.87462
1780700100000,4340.68541,4342.17346,4335.45176,4335.78068
1780700400000,4336.26429,4337.83022,4332.00363,4337.38859
1780700700000,4336.65291,4336.65291,4329.37917,4330.748
1780701000000,4331.18177,4338.77126,4331.18177,4338.29164
1780701300000,4337.38188,4337.38188,4326.19511,4326.56359
1780701600000,4327.10281,4329.75407,4326.38228,4326.58821
1780701900000,4326.7172,4333.50667,4325.97398,4331.15339
1780702200000,4330.90749,4330.90749,4325.63371,4326.04774
1780702500000,4326.02494,4332.00485,4325.69027,4331.5481
1780702800000,4330.7419,4331.40324,4327.50563,4328.80877
1780703100000,4328.49703,4333.08166,4327.50563,4332.583
1780703400000,4331.95509,4337.76064,4331.95509,4337.00791
1780703700000,4335.14884,4343.4826,4335.14884,4343.24563
1780704000000,4342.87369,4345.77689,4340.46617,4340.61511
1780704300000,4340.86474,4343.67127,4339.71271,4340.59873
1780704600000,4340.49157,4342.1624,4335.65754,4341.69661
1780704900000,4340.79646,4342.8293,4338.03899,4338.90488
1780705200000,4340.46306,4341.59684,4336.30543,4338.94689
1780705500000,4339.34012,4340.84299,4337.26579,4339.57774
1780705800000,4338.39909,4343.4826,4338.39909,4343.03513
1780706100000,4342.48866,4344.23737,4339.90105,4344.02307
1780706400000,4343.65211,4348.51577,4341.21988,4341.48512
1780706700000,4341.52752,4342.64031,4340.08941,4340.12791
1780707000000,4340.21338,4342.75065,4338.9503,4342.32078
1780707300000,4341.60643,4343.29395,4341.60643,4343.21285
1780707600000,4342.96651,4343.0056,4335.69672,4336.1737
1780707900000,4337.20632,4337.20632,4330.69161,4331.1275
1780708200000,4331.16226,4331.49985,4326.94833,4327.53396
1780708500000,4328.75081,4328.75081,4322.642,4325.7007
1780708800000,4325.33879,4328.44219,4325.33879,4328.36804
1780709100000,4328.20728,4328.20728,4322.82886,4325.67961
1780709400000,4324.98878,4326.75666,4318.90818,4319.41734
1780709700000,4320.86858,4327.95735,4320.40093,4320.9286
1780710000000,4322.02904,4322.02904,4316.48212,4316.77528
1780710300000,4317.35974,4320.13089,4315.90356,4319.54382
1780710600000,4318.62492,4320.96098,4317.41646,4317.6556
1780710900000,4317.82414,4324.69835,4317.82414,4323.41654
1780711200000,4323.51813,4325.6899,4316.85733,4320.78835
1780711500000,4320.44803,4320.44803,4316.67098,4317.08563
1780711800000,4317.70615,4319.84103,4316.11205,4316.34962
1780712100000,4316.69489,4317.77642,4314.88673,4317.13694
1780712400000,4316.31285,4320.02765,4316.29834,4316.51238
1780712700000,4316.7407,4324.51133,4314.93026,4324.18793
1780713000000,4323.48253,4324.49732,4321.1477,4322.39585
1780713300000,4322.30139,4323.95036,4320.77428,4322.68819
1780713600000,4322.61641,4325.87841,4314.62225,4317.10662
1780713900000,4316.32264,4321.1477,4316.30761,4321.10291
1780714200000,4320.96568,4323.38954,4318.51729,4318.86723
1780714500000,4319.50246,4320.64815,4317.97573,4318.04163
1780714800000,4318.15141,4318.84835,4313.31953,4313.57917
1780715100000,4313.71471,4314.08484,4312.20354,4313.31804
1780715400000,4313.36446,4316.10935,4312.69753,4315.51843
1780715700000,4314.68972,4317.04369,4314.64255,4316.66308
1780716000000,4316.27583,4319.84103,4314.65255,4319.09569
1780716300000,4318.90346,4325.25952,4318.45684,4324.93249
1780716600000,4324.28672,4324.28672,4322.08151,4322.29274
1780716900000,4322.36081,4324.76239,4321.64494,4323.16663
1780717200000,4323.84369,4323.84369,4321.89472,4322.00264
1780717500000,4321.82372,4330.12904,4321.82372,4329.63064
1780717800000,4328.72587,4330.20464,4325.85597,4329.17708
1780718100000,4329.09928,4330.9824,4327.8802,4328.95948
1780718400000,4328.79582,4330.26902,4328.01662,4330.17265
1780718700000,4330.07683,4330.29314,4329.94155,4330.16095
1780719000000,4330.10049,4330.30121,4330.04778,4330.08012
1780719300000,4330.10806,4330.18982,4329.94155,4330.13735
1780719600000,4330.08301,4330.29541,4329.94034,4330.2125
1780719900000,4330.12632,4330.24777,4329.94155,4330.16701
1780720200000,4330.10257,4330.30318,4330.04925,4330.07649
1780720500000,4330.1069,4330.28187,4330.04644,4330.15663
1780720800000,4330.11226,4330.29936,4330.04757,4330.2097
1780721100000,4330.1144,4330.46662,4329.93761,4330.176
1780721400000,4330.1163,4330.28334,4330.04485,4330.06559
1780721700000,4330.09568,4330.28059,4330.03777,4330.13806
1780722000000,4330.10091,4330.29071,4330.05087,4330.20701
1780722300000,4330.10955,4330.30749,4330.06617,4330.18771
1780722600000,4330.11591,4330.29863,4330.0659,4330.08186
1780722900000,4330.11254,4330.29827,4330.04406,4330.13987
1780723200000,4330.10657,4330.28087,4330.04402,4330.20389
1780723500000,4330.10691,4330.30124,4330.0481,4330.18314
1780723800000,4330.10277,4330.29175,4330.06546,4330.07406
1780724100000,4330.10579,4330.29117,4330.04159,4330.13623
1780724400000,4330.10278,4330.27425,4330.04744,4330.20392
1780724700000,4330.10691,4330.3013,4330.04452,4330.193
1780725000000,4330.1066,4330.29759,4330.0789,4330.08175
1780725300000,4330.11366,4330.30535,4330.04758,4330.15284
1780725600000,4330.11407,4330.27516,4330.06078,4330.21102
1780725900000,4330.11404,4330.30799,4330.05147,4330.20167
1780726200000,4330.11586,4330.29471,4330.08241,4330.08241
1780726500000,4330.11404,4330.30748,4330.05079,4330.1584
1780726800000,4330.11404,4330.26707,4330.066,4330.21009
1780727100000,4330.11404,4330.30614,4330.04978,4330.20575
1780727400000,4330.11404,4330.28891,4330.08171,4330.08171
1780727700000,4330.11253,4330.30868,4330.05126,4330.16411
1780728000000,4330.11414,4330.24983,4330.06328,4330.20099
1780728300000,4330.1069,4330.29544,4330.03972,4330.20237
1780728600000,4330.10478,4330.27255,4330.07796,4330.07796
1780728900000,4330.10619,4330.29943,4330.04634,4330.16053
1780729200000,4330.10453,4330.24038,4330.07028,4330.19903
1780729500000,4330.10688,4330.29806,4330.04013,4330.2063
1780729800000,4330.10481,4330.26516,4330.08015,4330.08015
1780730100000,4330.1062,4330.29851,4330.04375,4330.16579
1780730400000,4330.1045,4330.2371,4330.08691,4330.20251
1780730700000,4330.11183,4330.30747,4330.05082,4330.21762
1780731000000,4330.11404,4330.26711,4330.09001,4330.09001
1780731300000,4330.11404,4330.30615,4330.04979,4330.17978
1780731600000,4330.11404,4330.24552,4330.09518,4330.20155
1780731900000,4330.11404,4330.30679,4330.05319,4330.11072
1780732200000,4330.11383,4330.25814,4330.09118,4330.09118
1780732500000,4330.11247,4330.29574,4330.04347,4330.17559
1780732800000,4330.10444,4330.24652,4330.10444,4330.20162